product_id,product_name,brand_id,category_id,model_year,list_price
1,Trek 820 - 2016,9,6,2016,379.99
2,Ritchey Timberwolf Frameset - 2016,5,6,2016,749.99
3,Surly Wednesday Frameset - 2016,8,6,2016,999.99
4,Trek Fuel EX 8 29 - 2016,9,6,2016,2899.99
5,Heller Shagamaw Frame - 2016,3,6,2016,1320.99
6,Surly Ice Cream Truck Frameset - 2016,8,6,2016,469.99
7,Trek Slash 8 27.5 - 2016,9,6,2016,3999.99
8,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99
9,Trek Conduit+ - 2016,9,5,2016,2999.99
10,Surly Straggler - 2016,8,4,2016,1549
11,Surly Straggler 650b - 2016,8,4,2016,1680.99
12,Electra Townie Original 21D - 2016,1,3,2016,549.99
13,Electra Cruiser 1 (24-Inch) - 2016,1,3,2016,269.99
14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,3,2016,69.99
15,Electra Moto 1 - 2016,1,3,2016,529.99
16,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99
17,Pure Cycles Vine 8-Speed - 2016,4,3,2016,429
18,Pure Cycles Western 3-Speed - Women's - 2015/2016,4,3,2016,449
19,Pure Cycles William 3-Speed - 2016,4,3,2016,449
20,Trek Domane SLR 6 Disc - 2017,9,7,2017,5499.99
21,Trek Emonda S 5 - 2017,9,7,2017,1999.99
22,Trek Madone 9.2 - 2017,9,7,2017,4999.99
23,Trek Domane S 5 Disc - 2017,9,7,2017,2599.99
24,Sun Bicycles ElectroLite - 2017,7,5,2017,1559.99
25,Trek Powerfly 8 FS Plus - 2017,9,5,2017,4999.99
26,Trek Boone 7 - 2017,9,4,2017,3499.99
27,Trek Boone Race Shop Limited - 2017,9,4,2017,3499.99
28,Electra Townie Original 7D - 2017,1,3,2017,489.99
29,Sun Bicycles Lil Bolt Type-R - 2017,7,3,2017,346.99
30,Sun Bicycles Revolutions 24 - 2017,7,3,2017,250.99
31,Sun Bicycles Revolutions 24 - Girl's - 2017,7,3,2017,250.99
32,Sun Bicycles Cruz 3 - 2017,7,3,2017,449.99
33,Sun Bicycles Cruz 7 - 2017,7,3,2017,416.99
34,Electra Amsterdam Original 3i - 2015/2017,1,3,2017,659.99
35,Sun Bicycles Atlas X-Type - 2017,7,3,2017,416.99
36,Sun Bicycles Biscayne Tandem 7 - 2017,7,3,2017,619.99
37,Sun Bicycles Brickell Tandem 7 - 2017,7,3,2017,749.99
38,Electra Cruiser Lux 1 - 2017,1,3,2017,439.99
39,Electra Cruiser Lux Fat Tire 1 Ladies - 2017,1,3,2017,599.99
40,"Electra Girl's Hawaii 1 16"" - 2017",1,3,2017,299.99
41,Electra Glam Punk 3i Ladies' - 2017,1,3,2017,799.99
42,Sun Bicycles Biscayne Tandem CB - 2017,7,3,2017,647.99
43,Sun Bicycles Boardwalk (24-inch Wheels) - 2017,7,3,2017,402.99
44,Sun Bicycles Brickell Tandem CB - 2017,7,3,2017,761.99
45,Electra Amsterdam Fashion 7i Ladies' - 2017,1,3,2017,1099.99
46,Electra Amsterdam Original 3i Ladies' - 2017,1,3,2017,659.99
47,Trek Boy's Kickster - 2015/2017,9,1,2017,149.99
